@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
21, 104, 176, 2550, groats
22, 97, 157, 2268, groats
23, 95, 170, 2190, groats
21, 60, 137, 2464, groats
16, 119, 131, 2784, groats
18, 100, 145, 2400, groats
15, 150, 114, 1914, groats
22, 83, 156, 1920, groats
19, 132, 141, 3154, groats
15, 107, 122, 2001, groats
34, 61, 59, 1904, groats
16, 70, 157, 1809, groats
22, 82, 150, 2368, groats
22, 148, 129, 2204, groats
25, 108, 168, 2100, groats
25, 99, 142, 2640, groats
22, 86, 145, 2356, groats
26, 95, 159, 3300, groats
20, 117, 116, 2552, groats
20, 74, 158, 2387, groats
21, 111, 163, 2272, groats
20, 80, 159, 2686, groats
19, 100, 115, 2030, groats
23, 96, 120, 2528, groats
19, 99, 139, 2280, groats
23, 102, 167, 2343, groats
23, 101, 154, 2160, groats
16, 117, 113, 2720, groats
19, 106, 144, 3956, groats
23, 70, 178, 2772, groats
24, 108, 146, 2542, groats
19, 89, 155, 2070, groats
21, 103, 129, 2528, groats
21, 105, 139, 2937, groats
31, 42, 141, 1496, groats
20, 123, 112, 2106, groats
24, 97, 153, 2263, groats
23, 112, 178, 2291, groats
19, 63, 149, 1512, groats
23, 82, 156, 2580, groats
23, 88, 156, 1798, groats
11, 31, 117, 1971, groats
24, 102, 173, 2139, groats
15, 114, 128, 2432, groats
17, 116, 128, 2765, groats
19, 131, 107, 2460, groats
18, 139, 103, 2250, groats
23, 83, 148, 2010, groats
21, 98, 146, 3828, groats
15, 108, 125, 2310, groats
26, 90, 176, 2088, groats
15, 97, 178, 1566, groats
18, 101, 98, 1914, groats
16, 81, 82, 2666, groats
23, 97, 126, 2573, groats
22, 109, 157, 1794, groats
25, 91, 160, 2201, groats
20, 96, 175, 2886, groats
19, 111, 138, 2001, groats
21, 129, 97, 3010, groats
21, 104, 144, 2320, groats
20, 118, 140, 2494, groats
22, 115, 142, 2480, groats
19, 114, 128, 2088, groats
15, 102, 95, 2001, groats
17, 96, 133, 2262, groats
18, 118, 136, 2430, groats
19, 105, 134, 1596, groats
19, 132, 129, 2070, groats
27, 67, 167, 1890, groats
21, 109, 115, 2356, groats
19, 114, 147, 2800, groats
21, 111, 122, 2574, groats
19, 89, 140, 1943, groats
20, 137, 155, 2175, groats
20, 80, 143, 2975, groats
23, 125, 137, 2176, groats
20, 110, 151, 2100, groats
23, 92, 142, 3290, groats
27, 90, 144, 1800, groats
18, 106, 151, 3045, groats
21, 113, 167, 2295, groats
23, 112, 157, 1728, groats
20, 88, 157, 2072, groats
20, 99, 147, 1472, groats
25, 93, 172, 2356, groats
22, 93, 151, 2072, groats
16, 138, 113, 2720, groats
20, 94, 141, 1932, groats
22, 84, 139, 2170, groats
20, 100, 179, 1863, groats
25, 96, 148, 2940, groats
19, 93, 145, 1752, groats
18, 90, 99, 2214, groats
23, 102, 153, 2772, groats
23, 100, 163, 2688, groats
23, 104, 142, 1625, groats
27, 88, 124, 2952, groats
16, 103, 116, 2822, groats
19, 105, 136, 2848, groats
15, 98, 101, 2156, groats
23, 74, 137, 3168, groats
23, 111, 110, 2160, groats
22, 92, 130, 1988, groats
19, 91, 152, 2275, groats
18, 132, 108, 2496, groats
23, 105, 177, 2541, groats
20, 114, 123, 3328, groats
17, 137, 134, 2432, groats
24, 83, 150, 2016, groats
18, 97, 103, 2310, groats
18, 88, 130, 2666, groats
20, 101, 114, 2310, groats
21, 118, 153, 2378, groats
21, 103, 138, 2133, groats
21, 86, 140, 2673, groats
17, 98, 130, 2496, groats
17, 100, 120, 3230, groats
23, 122, 136, 2480, groats
22, 118, 151, 2656, groats
12, 116, 110, 2040, groats
19, 95, 143, 1792, groats
19, 106, 151, 1890, groats
23, 113, 129, 2010, groats
17, 82, 155, 2850, groats
18, 109, 140, 2046, groats
21, 107, 129, 3686, groats
22, 76, 134, 2673, groats
20, 114, 146, 2304, groats
21, 101, 166, 2400, groats
22, 119, 159, 2156, groats
23, 105, 122, 2688, groats
23, 102, 132, 3026, groats
20, 110, 179, 2480, groats
20, 106, 125, 2262, groats
26, 92, 174, 2356, groats
24, 102, 153, 2046, groats
18, 111, 154, 2542, groats
22, 116, 123, 2310, groats
26, 76, 144, 2904, groats
20, 81, 166, 2336, groats
17, 121, 124, 2294, groats
24, 88, 157, 2291, groats
18, 145, 137, 3510, groats
22, 79, 133, 1680, groats
21, 91, 132, 2436, groats
16, 128, 132, 2250, groats
23, 91, 149, 2044, groats
21, 137, 166, 2088, groats
24, 73, 158, 2250, groats
19, 87, 132, 2108, groats
18, 57, 134, 2044, groats
21, 97, 181, 1900, groats
23, 90, 156, 2356, groats
24, 93, 124, 2054, groats
17, 87, 126, 2418, groats
20, 96, 122, 2528, groats
19, 90, 151, 2160, groats
22, 135, 117, 2688, groats
24, 110, 164, 2436, groats
20, 105, 114, 2688, groats
21, 123, 145, 1740, groats
21, 86, 137, 3465, groats
19, 108, 130, 3132, groats
21, 95, 148, 2349, groats
20, 122, 115, 2970, groats
15, 125, 102, 2970, groats
22, 128, 106, 2464, groats
19, 120, 145, 3154, groats
22, 96, 156, 2054, groats
19, 141, 128, 2294, groats
22, 94, 146, 2262, groats
20, 104, 167, 1794, groats
17, 126, 83, 3230, groats
20, 94, 176, 3115, groats
19, 129, 113, 2697, groats
22, 82, 164, 2871, groats
19, 85, 180, 2574, groats
22, 75, 143, 3638, groats
14, 122, 127, 2449, groats
21, 95, 139, 4329, groats
110, 139, 44, 1220, groats
30, 69, 174, 3132, groats
20, 97, 132, 1472, groats
23, 90, 156, 1960, groats
25, 103, 148, 2470, groats
23, 130, 145, 2405, groats
18, 129, 136, 2520, groats
22, 62, 151, 2030, groats
23, 93, 178, 3024, groats
20, 96, 120, 2800, groats
22, 109, 168, 3096, groats
21, 83, 170, 3408, groats
21, 137, 127, 2993, groats
22, 84, 158, 1716, groats
22, 111, 135, 3213, groats
25, 90, 156, 2886, groats
22, 80, 178, 2775, groats
21, 102, 183, 3040, groats
22, 93, 175, 4662, groats
25, 83, 163, 2916, groats
15, 119, 109, 2788, groats
22, 109, 173, 2808, groats
11, 113, 113, 2592, groats
23, 102, 152, 2720, groats
18, 123, 147, 2886, groats
17, 104, 113, 3071, groats
22, 95, 163, 2352, groats
23, 102, 167, 3010, groats
21, 107, 183, 3071, groats
24, 95, 167, 3060, groats
16, 86, 68, 3515, groats
19, 108, 127, 3456, groats
24, 61, 154, 2800, groats
21, 71, 107, 2450, groats
19, 106, 144, 1890, groats
20, 96, 156, 2130, groats
20, 101, 175, 2232, groats
24, 100, 153, 2520, groats
20, 107, 167, 2117, groats
20, 128, 141, 1872, groats
21, 140, 126, 2485, groats
22, 117, 159, 2701, groats
22, 91, 169, 2240, groats
18, 149, 116, 2277, groats
20, 115, 178, 2993, groats
25, 87, 173, 3096, groats
18, 169, 130, 2574, groats
18, 88, 147, 3078, groats
20, 105, 148, 2607, groats
24, 101, 166, 2805, groats
23, 96, 141, 2592, groats
23, 76, 147, 3024, groats
18, 126, 117, 2686, groats
19, 90, 136, 2993, groats
22, 104, 150, 3315, groats
20, 130, 124, 2736, groats
15, 94, 100, 3432, groats
21, 102, 172, 3182, groats
23, 116, 134, 2668, groats
22, 99, 182, 2728, groats
16, 147, 90, 2904, groats
24, 74, 165, 3237, groats
20, 83, 156, 3072, groats
25, 93, 176, 3496, groats
21, 116, 130, 1728, groats
21, 103, 191, 2640, groats
24, 92, 136, 1984, groats
21, 93, 168, 2448, groats
23, 88, 177, 2684, groats
24, 99, 155, 2176, groats
22, 111, 177, 2881, groats
20, 99, 177, 2484, groats
23, 111, 152, 3417, groats
20, 105, 160, 2584, groats
22, 95, 182, 1750, groats
21, 95, 153, 2139, groats
22, 113, 172, 2400, groats
22, 106, 154, 2574, groats
20, 117, 146, 2310, groats
19, 109, 166, 2496, groats
15, 131, 111, 2926, groats
16, 119, 116, 3042, groats
22, 93, 123, 3230, groats
23, 97, 177, 2958, groats
19, 133, 125, 3154, groats
19, 99, 77, 5859, groats
22, 65, 156, 3182, groats
16, 125, 126, 2975, groats
20, 91, 176, 2691, groats
21, 110, 135, 3367, groats
47, 44, 92, 3115, groats
21, 97, 182, 1911, groats
22, 74, 159, 1904, groats
21, 107, 140, 2666, groats
23, 100, 164, 2310, groats
18, 122, 134, 2380, groats
25, 73, 147, 2277, groats
21, 91, 151, 2139, groats
24, 80, 162, 2201, groats
22, 121, 137, 2240, groats
20, 84, 160, 2130, groats
26, 96, 154, 2310, groats
19, 93, 150, 2175, groats
20, 132, 129, 2592, groats
10, 118, 99, 2625, groats
20, 99, 144, 2835, groats
22, 90, 176, 2496, groats
22, 102, 138, 2886, groats
17, 135, 125, 2184, groats
17, 87, 144, 2117, groats
19, 122, 174, 2449, groats
20, 67, 140, 2574, groats
21, 91, 134, 2560, groats
23, 73, 171, 2607, groats
24, 112, 168, 2905, groats
22, 95, 187, 3444, groats
19, 122, 119, 2752, groats
20, 111, 147, 3293, groats
29, 94, 139, 3367, groats
17, 138, 120, 3016, groats
20, 109, 159, 1960, groats
22, 82, 184, 2173, groats
23, 131, 156, 2232, groats
22, 108, 149, 2880, groats
20, 107, 122, 2208, groats
22, 98, 138, 2059, groats
23, 80, 162, 2847, groats
22, 86, 137, 2664, groats
21, 136, 133, 2886, groats
23, 93, 137, 2800, groats
21, 91, 188, 3040, groats
22, 111, 168, 2607, groats
24, 98, 136, 2324, groats
21, 140, 138, 3081, groats
19, 102, 175, 2720, groats
20, 65, 177, 2574, groats
22, 107, 172, 2975, groats
23, 76, 144, 2352, groats
20, 106, 187, 3060, groats
25, 74, 134, 3060, groats
23, 107, 174, 3060, groats
24, 101, 166, 2580, groats
22, 94, 122, 2550, groats
19, 115, 144, 2759, groats
24, 116, 162, 3003, groats
18, 115, 131, 3080, groats
23, 97, 168, 2646, groats
22, 90, 133, 2376, groats
22, 121, 154, 2747, groats
23, 101, 159, 2380, groats
20, 105, 138, 2380, groats
24, 90, 170, 2516, groats
23, 85, 186, 2691, groats
23, 119, 150, 2376, groats
20, 78, 154, 2146, groats
17, 101, 151, 2077, groats
17, 101, 86, 2030, groats
16, 136, 133, 2310, groats
24, 103, 149, 2584, groats
22, 100, 145, 2146, groats
21, 122, 132, 2736, groats
22, 97, 157, 3225, groats
18, 114, 136, 2812, groats
17, 122, 134, 2923, groats
22, 120, 132, 2695, groats
22, 94, 144, 3080, groats
21, 111, 165, 2923, groats
19, 106, 164, 3200, groats
19, 97, 145, 3071, groats
23, 100, 178, 2407, groats
21, 135, 123, 5760, groats
19, 100, 145, 3219, groats
23, 82, 183, 2220, groats
14, 103, 143, 2040, groats
21, 116, 132, 1984, groats
21, 111, 163, 2795, groats
24, 123, 164, 2176, groats
20, 112, 144, 2077, groats
22, 110, 171, 2665, groats
24, 105, 160, 2479, groats
23, 90, 150, 2680, groats
23, 115, 151, 2170, groats
25, 88, 148, 2380, groats
24, 103, 159, 2343, groats
22, 97, 163, 2244, groats
18, 127, 147, 2380, groats
18, 90, 148, 2520, groats
23, 108, 158, 2201, groats
22, 104, 160, 2263, groats
26, 98, 159, 2482, groats
23, 101, 161, 2627, groats
22, 113, 145, 2812, groats
17, 111, 133, 2414, groats
23, 94, 174, 2263, groats
22, 91, 154, 2765, groats
22, 116, 162, 2772, groats
24, 82, 164, 3192, groats
21, 131, 107, 3010, groats
18, 134, 133, 3154, groats
22, 124, 128, 3060, groats
25, 78, 144, 2784, groats
18, 116, 134, 1665, groats
19, 125, 133, 2204, groats
19, 107, 129, 2048, groats
23, 108, 130, 2046, groats
20, 92, 185, 2208, groats
23, 113, 140, 1972, groats
17, 98, 145, 2208, groats
22, 91, 174, 2556, groats
25, 82, 187, 2263, groats
20, 126, 128, 2263, groats
18, 129, 111, 2475, groats
22, 113, 147, 2849, groats
22, 121, 135, 2607, groats
21, 110, 132, 3159, groats
21, 100, 178, 2511, groats
23, 101, 175, 3034, groats
21, 90, 139, 2952, groats
19, 124, 158, 2822, groats
17, 149, 108, 2870, groats
21, 100, 132, 2739, groats
21, 113, 173, 2720, groats
13, 114, 112, 3060, groats
21, 117, 175, 3182, groats
21, 94, 166, 3276, groats
21, 82, 158, 3515, groats
23, 101, 157, 2205, groats
21, 100, 164, 2380, groats
20, 107, 126, 2340, groats
21, 143, 148, 2139, groats
21, 95, 164, 3036, groats
22, 123, 172, 2380, groats
20, 132, 106, 2380, groats
23, 93, 162, 2346, groats
22, 77, 155, 2628, groats
24, 97, 177, 2736, groats
19, 107, 150, 2482, groats
20, 96, 157, 2660, groats
17, 121, 124, 2310, groats
21, 96, 164, 2464, groats
22, 124, 150, 2432, groats
27, 68, 135, 2418, groats
22, 108, 175, 2618, groats
16, 83, 151, 2720, groats
21, 117, 168, 2720, groats
22, 109, 63, 2688, groats
20, 129, 156, 2838, groats
20, 99, 150, 2958, groats
22, 91, 149, 2759, groats
19, 104, 142, 2975, groats
19, 101, 144, 2624, groats
21, 87, 159, 3420, groats
17, 128, 140, 3256, groats
20, 114, 150, 1798, groats
23, 97, 173, 2046, groats
19, 130, 149, 2412, groats
19, 117, 148, 2278, groats
24, 93, 165, 2201, groats
23, 87, 152, 1972, groats
18, 122, 111, 2030, groats
23, 120, 147, 2001, groats
23, 103, 161, 2590, groats
19, 81, 144, 2448, groats
22, 110, 149, 2088, groats
23, 114, 166, 1825, groats
25, 102, 153, 2190, groats
26, 74, 165, 2432, groats
15, 151, 127, 2480, groats
21, 87, 153, 2542, groats
24, 86, 143, 2788, groats
14, 109, 94, 2368, groats
20, 104, 179, 3154, groats
20, 86, 161, 2905, groats
23, 98, 148, 2656, groats
16, 171, 121, 2625, groats
23, 114, 155, 3735, groats
24, 95, 159, 2697, groats
21, 93, 164, 6230, groats
19, 129, 121, 2880, groats
20, 92, 156, 1705, groats
25, 68, 157, 3380, groats
22, 82, 127, 1846, groats
21, 108, 135, 1740, groats
27, 97, 150, 3240, groats
25, 77, 143, 2368, groats
19, 125, 137, 2475, groats
19, 97, 152, 2448, groats
17, 128, 170, 2409, groats
23, 118, 136, 2100, groats
22, 109, 148, 2541, groats
20, 73, 115, 2464, groats
22, 92, 142, 2730, groats
19, 89, 177, 2349, groats
20, 91, 162, 2574, groats
19, 106, 149, 2460, groats
20, 95, 151, 2952, groats
21, 120, 128, 2574, groats
16, 136, 90, 2706, groats
20, 134, 105, 2673, groats
21, 110, 142, 3145, groats
23, 83, 142, 2656, groats
26, 58, 176, 8514, groats
23, 102, 177, 3024, groats
19, 113, 142, 2688, groats
17, 141, 125, 2904, groats
21, 110, 162, 2838, groats
22, 110, 139, 3441, groats
20, 95, 159, 1740, groats
25, 94, 165, 2312, groats
23, 105, 151, 2379, groats
20, 83, 153, 1518, groats
21, 81, 151, 3196, groats
24, 98, 148, 2345, groats
25, 102, 177, 2044, groats
20, 121, 122, 2263, groats
23, 102, 153, 2010, groats
23, 99, 178, 2812, groats
15, 111, 115, 2310, groats
21, 117, 153, 2190, groats
13, 118, 127, 2475, groats
20, 103, 168, 3168, groats
22, 111, 166, 2485, groats
21, 122, 148, 2508, groats
24, 96, 181, 2775, groats
24, 108, 139, 2325, groats
24, 75, 146, 3219, groats
26, 96, 160, 2584, groats
24, 104, 181, 2952, groats
20, 130, 108, 2592, groats
21, 104, 160, 3239, groats
21, 127, 110, 2407, groats
18, 119, 109, 2520, groats
22, 93, 167, 3738, groats
20, 99, 163, 2924, groats
21, 94, 146, 3348, groats
25, 106, 166, 1980, groats
21, 100, 148, 1980, groats
20, 84, 137, 1944, groats
18, 98, 172, 2275, groats
20, 95, 143, 2030, groats
20, 105, 143, 1917, groats
23, 82, 152, 1988, groats
22, 111, 168, 2345, groats
27, 79, 158, 2190, groats
24, 80, 170, 2100, groats
29, 84, 155, 2886, groats
21, 110, 148, 2170, groats
20, 109, 157, 2304, groats
23, 103, 166, 2175, groats
22, 81, 135, 2054, groats
23, 98, 151, 2812, groats
19, 85, 162, 2262, groats
21, 81, 177, 3168, groats
20, 99, 144, 2560, groats
19, 78, 192, 2280, groats
22, 114, 161, 2652, groats
19, 138, 113, 2958, groats
20, 131, 117, 3168, groats
19, 139, 99, 7055, groats
22, 102, 147, 3120, groats
23, 103, 169, 3486, groats
23, 66, 128, 2584, groats
17, 96, 122, 2952, groats
16, 66, 178, 3219, groats
21, 125, 161, 3003, groats
21, 82, 158, 2944, groats
24, 86, 186, 4176, groats
17, 138, 120, 1914, groats
22, 111, 159, 1885, groats
25, 105, 131, 1690, groats
22, 105, 178, 1742, groats
21, 108, 149, 1872, groats
23, 78, 160, 2070, groats
21, 102, 148, 2232, groats
20, 126, 168, 2448, groats
24, 89, 169, 2170, groats
22, 90, 167, 2774, groats
22, 94, 157, 2250, groats
18, 126, 144, 2520, groats
22, 100, 168, 2336, groats
20, 118, 167, 2044, groats
17, 117, 163, 2356, groats
19, 110, 156, 2664, groats
19, 121, 148, 2232, groats
24, 99, 149, 2190, groats
21, 97, 195, 2336, groats
24, 96, 149, 2343, groats
22, 104, 184, 2607, groats
18, 128, 112, 2652, groats
18, 96, 144, 2072, groats
21, 86, 145, 2340, groats
21, 100, 161, 2772, groats
23, 99, 160, 2856, groats
22, 122, 163, 2490, groats
23, 107, 181, 2752, groats
20, 118, 171, 2958, groats
21, 109, 147, 3094, groats
18, 92, 125, 2574, groats
20, 83, 141, 3465, groats
22, 88, 165, 2016, groats
19, 97, 163, 1700, groats
18, 87, 143, 1632, groats
25, 96, 136, 1798, groats
23, 134, 160, 2108, groats
22, 103, 176, 1885, groats
21, 116, 149, 2448, groats
23, 88, 145, 2304, groats
20, 142, 115, 2442, groats
23, 98, 161, 2108, groats
23, 108, 144, 2380, groats
22, 98, 156, 2232, groats
19, 131, 154, 2072, groats
16, 92, 133, 2117, groats
20, 108, 156, 2400, groats
20, 129, 146, 2280, groats
24, 107, 114, 1725, groats
22, 116, 161, 2484, groats
24, 93, 173, 2888, groats
20, 81, 161, 2541, groats
27, 94, 141, 2808, groats
23, 119, 143, 2268, groats
25, 96, 152, 2574, groats
23, 93, 170, 2542, groats
22, 123, 170, 2560, groats
23, 86, 140, 2656, groats
20, 109, 145, 2560, groats
20, 94, 122, 2688, groats
22, 102, 178, 2697, groats
19, 105, 131, 2541, groats
19, 124, 173, 3132, groats
22, 98, 133, 2822, groats
16, 115, 124, 2772, groats
21, 121, 154, 1560, groats
20, 106, 154, 2077, groats
22, 106, 168, 3038, groats
20, 109, 159, 2376, groats
23, 82, 124, 2170, groats
20, 119, 186, 2160, groats
25, 83, 142, 2448, groats
23, 85, 144, 2232, groats
21, 97, 173, 2144, groats
22, 109, 124, 2072, groats
44, 55, 69, 2277, groats
22, 99, 175, 2072, groats
28, 69, 148, 3157, groats
25, 82, 162, 2508, groats
29, 72, 164, 2574, groats
24, 99, 154, 2387, groats
23, 94, 138, 2449, groats
19, 110, 170, 3978, groats
24, 103, 159, 2880, groats
23, 87, 181, 2511, groats
22, 99, 177, 2905, groats
22, 95, 139, 2607, groats
17, 136, 105, 2958, groats
19, 98, 145, 2520, groats
20, 120, 157, 2430, groats
21, 104, 149, 2494, groats
19, 103, 149, 2268, groats
23, 88, 160, 2670, groats
25, 79, 154, 3520, groats
21, 95, 161, 3256, groats
22, 82, 159, 2848, groats
25, 100, 148, 3404, groats
19, 128, 153, 1824, groats
15, 79, 145, 1710, groats
20, 92, 149, 1943, groats
22, 102, 177, 1943, groats
20, 93, 154, 1809, groats
19, 99, 139, 1700, groats
24, 80, 149, 2272, groats
24, 77, 158, 1960, groats
25, 94, 174, 2108, groats
22, 104, 172, 1922, groats
27, 93, 143, 1728, groats
19, 129, 140, 2272, groats
17, 82, 131, 2088, groats
19, 98, 112, 2070, groats
21, 95, 139, 2232, groats
21, 83, 138, 2117, groats
23, 111, 183, 2025, groats
21, 112, 178, 1850, groats
24, 103, 143, 1924, groats
26, 76, 148, 2343, groats
18, 109, 136, 1742, groats
20, 125, 143, 2618, groats
16, 80, 141, 2400, groats
23, 89, 172, 2618, groats
22, 97, 137, 2130, groats
26, 89, 129, 2132, groats
24, 101, 171, 2322, groats
18, 137, 149, 2784, groats
22, 117, 116, 3168, groats
26, 72, 106, 2988, groats
19, 94, 155, 3060, groats
20, 97, 171, 3572, groats
15, 75, 136, 1664, groats
29, 59, 168, 1690, groats
22, 128, 174, 2046, groats
15, 104, 110, 1755, groats
21, 97, 142, 2244, groats
24, 100, 143, 2272, groats
25, 86, 164, 2001, groats
20, 122, 142, 2479, groats
21, 90, 144, 1988, groats
17, 115, 84, 2170, groats
21, 95, 134, 2190, groats
22, 97, 191, 2356, groats
21, 111, 140, 2263, groats
20, 103, 166, 2475, groats
24, 94, 152, 2442, groats
23, 92, 167, 2204, groats
20, 103, 139, 2232, groats
24, 91, 157, 3225, groats
23, 94, 154, 2418, groats
23, 94, 158, 2025, groats
21, 104, 179, 2528, groats
20, 103, 139, 2730, groats
21, 108, 165, 2618, groats
14, 94, 125, 2739, groats
29, 81, 155, 2720, groats
19, 127, 153, 2775, groats
24, 112, 137, 2890, groats
23, 111, 179, 2964, groats
26, 107, 126, 2870, groats
17, 130, 100, 2816, groats
20, 88, 154, 3168, groats
21, 98, 183, 2880, groats
21, 105, 150, 2010, groats
21, 105, 151, 1742, groats
19, 137, 119, 1904, groats
25, 72, 141, 2380, groats
20, 102, 152, 1846, groats
22, 103, 175, 2040, groats
22, 104, 166, 1890, groats
24, 86, 142, 1953, groats
22, 111, 156, 2117, groats
17, 121, 147, 2059, groats
23, 83, 156, 2016, groats
19, 97, 165, 2772, groats
24, 89, 158, 2812, groats
23, 96, 183, 2592, groats
17, 145, 132, 2262, groats
21, 118, 160, 2336, groats
22, 107, 112, 2212, groats
25, 79, 145, 2233, groats
22, 104, 184, 2340, groats
20, 91, 140, 2262, groats
24, 98, 170, 2640, groats
23, 124, 158, 2805, groats
23, 91, 177, 3071, groats
23, 109, 147, 2233, groats
16, 102, 152, 2190, groats
20, 139, 161, 2610, groats
23, 106, 178, 2821, groats
23, 103, 148, 2436, groats
23, 111, 149, 3060, groats
23, 104, 110, 2912, groats
17, 139, 117, 3094, groats
24, 86, 152, 3276, groats
24, 93, 129, 3515, groats
25, 84, 142, 2112, groats
24, 80, 150, 2100, groats
23, 94, 146, 2343, groats
17, 137, 130, 2336, groats
20, 109, 145, 2336, groats
17, 125, 161, 2272, groats
24, 106, 168, 2233, groats
25, 89, 183, 2925, groats
22, 114, 155, 2356, groats
21, 127, 155, 1848, groats
15, 104, 115, 2294, groats
26, 87, 143, 2418, groats
22, 132, 147, 2418, groats
23, 113, 129, 2430, groats
19, 112, 130, 2370, groats
20, 95, 155, 1944, groats
21, 107, 143, 2475, groats
23, 106, 154, 2730, groats
23, 89, 138, 2100, groats
26, 86, 133, 2387, groats
23, 103, 144, 2370, groats
21, 146, 112, 2673, groats
19, 77, 163, 2550, groats
26, 99, 173, 2480, groats
22, 115, 160, 2573, groats
19, 75, 142, 3116, groats
22, 116, 139, 2992, groats
19, 124, 107, 3132, groats
21, 106, 174, 2904, groats
23, 105, 146, 2914, groats
27, 81, 142, 3240, groats
24, 92, 155, 1798, groats
25, 77, 149, 2046, groats
24, 113, 120, 1914, groats
22, 104, 177, 2108, groats
23, 88, 157, 2030, groats
21, 112, 127, 2343, groats
25, 96, 143, 2336, groats
20, 133, 136, 1352, groats
21, 103, 131, 1694, groats
27, 83, 162, 2356, groats
16, 97, 100, 2190, groats
22, 113, 172, 2660, groats
23, 71, 157, 2618, groats
21, 112, 105, 2310, groats
23, 95, 148, 2754, groats
21, 115, 106, 2325, groats
22, 109, 162, 2573, groats
23, 102, 142, 2156, groats
22, 80, 166, 4029, groats
21, 112, 123, 2291, groats
24, 96, 173, 2604, groats
17, 101, 126, 2822, groats
22, 102, 177, 2380, groats
20, 102, 120, 2739, groats
24, 104, 152, 2937, groats
19, 128, 147, 3268, groats
18, 134, 126, 2904, groats
22, 83, 142, 3154, groats
22, 82, 147, 6496, groats
14, 97, 139, 1904, groats
25, 97, 161, 2080, groats
23, 99, 162, 1944, groats
25, 73, 174, 2812, groats
24, 90, 122, 2898, groats
25, 113, 129, 2343, groats
22, 80, 153, 2100, groats
23, 96, 167, 2508, groats
23, 80, 144, 2516, groats
26, 79, 145, 2686, groats
22, 110, 151, 2656, groats
15, 127, 110, 2656, groats
23, 102, 167, 2592, groats
20, 73, 144, 2624, groats
25, 117, 151, 2460, groats
21, 107, 159, 2214, groats
20, 140, 142, 2580, groats
22, 72, 121, 2573, groats
23, 84, 151, 2574, groats
19, 107, 143, 2838, groats
28, 85, 159, 2940, groats
22, 97, 142, 2542, groats
23, 90, 148, 2262, groats
21, 105, 180, 3060, groats
19, 156, 121, 3115, groats
14, 63, 142, 3185, groats
24, 105, 162, 2970, groats
23, 100, 145, 3588, groats
18, 96, 109, 3366, groats
24, 90, 148, 3038, groats
19, 84, 154, 2040, groats
20, 122, 153, 1856, groats
25, 108, 118, 2108, groats
18, 51, 171, 2257, groats
21, 68, 153, 2214, groats
22, 87, 168, 2600, groats
23, 87, 147, 3060, groats
20, 88, 150, 3224, groats
23, 101, 167, 2482, groats
23, 100, 165, 2484, groats
20, 115, 162, 2706, groats
22, 76, 155, 2550, groats
21, 88, 142, 3608, groats
20, 91, 159, 2856, groats
21, 83, 157, 3066, groats
24, 107, 179, 4002, groats
24, 76, 158, 2296, groats
22, 92, 178, 2849, groats
21, 115, 133, 2988, groats
22, 85, 178, 5110, groats
23, 87, 175, 4048, groats
16, 155, 122, 3330, groats
23, 119, 141, 3080, groats
23, 110, 156, 2848, groats
25, 91, 165, 2610, groats
21, 99, 170, 4620, groats
24, 79, 185, 4182, groats
20, 76, 137, 3686, groats
23, 99, 136, 13572, groats
22, 93, 165, 1792, groats
23, 100, 179, 1600, groats
23, 105, 156, 2480, groats
25, 88, 147, 2201, groats
23, 83, 148, 2415, groats
19, 96, 154, 2448, groats
19, 120, 115, 2911, groats
22, 71, 173, 2400, groats
23, 79, 158, 1988, groats
22, 88, 134, 2774, groats
25, 85, 147, 2100, groats
20, 149, 123, 2220, groats
28, 86, 116, 2528, groats
16, 102, 125, 3120, groats
19, 137, 138, 2736, groats
21, 137, 112, 2975, groats
20, 82, 152, 2430, groats
23, 93, 167, 2706, groats
25, 92, 144, 3240, groats
20, 125, 133, 3268, groats
23, 89, 169, 2542, groats
20, 102, 145, 3002, groats
17, 139, 127, 3330, groats
26, 63, 170, 3219, groats
20, 100, 176, 3045, groats
21, 103, 181, 3432, groats
17, 128, 112, 3240, groats
16, 88, 98, 2656, groats
25, 87, 126, 2624, groats
19, 96, 162, 3204, groats
21, 83, 168, 3640, groats
20, 109, 148, 3458, groats
18, 139, 90, 6528, groats
22, 99, 144, 1725, groats
25, 98, 149, 2624, groats
20, 117, 159, 2130, groats
20, 104, 154, 2263, groats
20, 82, 158, 2175, groats
23, 106, 154, 2128, groats
20, 100, 158, 2160, groats
21, 131, 138, 2100, groats
15, 130, 88, 3975, groats
24, 90, 139, 2400, groats
23, 98, 154, 1960, groats
17, 119, 107, 2001, groats
20, 112, 160, 3266, groats
18, 113, 147, 2212, groats
19, 106, 145, 2250, groats
22, 100, 166, 2400, groats
24, 69, 158, 3040, groats
22, 85, 177, 2430, groats
22, 79, 168, 2541, groats
10, 87, 76, 1972, groats
18, 108, 146, 2520, groats
19, 141, 127, 2624, groats
16, 107, 164, 3198, groats
18, 151, 118, 2805, groats
22, 84, 171, 3168, groats
18, 101, 170, 2739, groats
23, 100, 156, 2618, groats
18, 80, 163, 2520, groats
19, 88, 174, 3230, groats
21, 78, 102, 2816, groats
24, 92, 133, 2912, groats
