@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
25, 105, 155, 1920, groats
23, 76, 148, 2700, groats
27, 69, 136, 3256, groats
20, 108, 151, 3572, groats
20, 96, 156, 3838, groats
22, 118, 160, 2541, groats
18, 100, 123, 2158, groats
23, 90, 156, 3762, groats
3, 111, 53, 3069, groats
25, 89, 164, 2430, groats
21, 68, 151, 2409, groats
18, 82, 146, 2336, groats
27, 81, 123, 2800, groats
96, 56, 118, 2680, groats
26, 81, 155, 2108, groats
25, 90, 178, 3978, groats
21, 98, 151, 2432, groats
17, 104, 120, 2058, broken
23, 119, 129, 1674, groats
12, 129, 93, 2030, groats
22, 90, 184, 6370, groats
24, 89, 171, 3913, groats
24, 86, 158, 3388, groats
22, 114, 168, 2760, groats
22, 140, 151, 4056, groats
25, 70, 192, 1620, broken
