@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE perimeter NUMERIC
@ATTRIBUTE hueMoment1 NUMERIC
@ATTRIBUTE hueMoment2 NUMERIC
@ATTRIBUTE hueMoment3 NUMERIC
@ATTRIBUTE hueMoment4 NUMERIC
@ATTRIBUTE hueMoment5 NUMERIC
@ATTRIBUTE hueMoment6 NUMERIC
@ATTRIBUTE hueMoment7 NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
24.85745140388769, 76.00593952483801, 159.35529157667386, 1766.0, 181.6, 0.6563318685706966, 1.651516548448115, 4.185078824780429, 5.330342734620461, 10.43269174111789, 6.527699650159774, 10.13773730865039, broken
27.24669603524229, 74.00088105726873, 149.03700440528635, 1004.0, 300.59, 0.5515430461359039, 1.5150726369417378, 2.574401158787362, 2.954164803473498, 5.720610560871016, 3.711748467497739, -6.72039963537751, broken
21.093793103448277, 94.87103448275862, 156.76206896551724, 1360.0, 195.4, 0.5930161424823237, 1.4241464749203068, 3.4951935141825277, 4.20678801772293, 8.071529092268667, 4.93576653748771, 8.663838595174633, broken
22.728527607361965, 83.81237218813907, 158.6814928425358, 1868.5, 191.64, 0.6912854309884181, 1.8611101691402911, 3.1619008950525678, 4.2358761542248375, 7.941232831673274, 5.178178559469231, 8.700977749606132, broken
23.275319567354966, 89.65880039331367, 168.5850540806293, 1938.5, 214.27, 0.7086752743205267, 1.9777036968931099, 3.297461077036635, 4.657651905288632, -8.682155830236145, -5.790799108517802, -8.990830586799268, broken
23.607176581680832, 82.53635505193579, 152.2275731822474, 984.0, 165.4, 0.5571274813200299, 1.3021472775133474, 3.534590896374472, 4.1400470018756765, 8.038463922709036, 4.906564825933516, -8.282562881527328, broken
28.51290119572058, 95.10761485210824, 150.0818124606671, 1519.0, 171.14, 0.6452615470445981, 1.6081452060457602, 3.9213272930150076, 4.790708798386794, 9.234079050286988, 5.694457383880668, -9.386680996663918, broken
21.17357762777242, 90.43394406943105, 127.64416586306653, 956.5, 179.3, 0.643942203639373, 1.6694320193849854, 3.0605500677688977, 4.1590625470542815, 7.804824066098059, 5.06851921936333, -8.177094689273906, broken
31.030264817150062, 41.29382093316519, 169.84237074401008, 744.5, 111.15, 0.7841675407401814, 3.1775467101616846, 3.7927372107173287, 5.653946240743275, -10.383564191496044, -7.340878512552345, -11.14994642541746, broken
22.372460496613996, 92.91873589164786, 140.36117381489842, 822.0, 140.91, 0.6788100366539396, 1.865471098418288, 2.8645297509519425, 3.843173046348539, 7.407300642101587, 4.963288038123424, -7.300725699524119, broken
